Compounds,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Yb0.6Tm0.3Er0.2Y0.9Si2O7,9.41264,0.23381,0.28702,29.46767,47.84887,169.29091,233.51243,117.09091,131.87182,11.30000,16.67353,0.56191,0.63091,1.56691,2.19626,25.25455,32.47928,495.96727,542.18115,2.61165,2.81745,-517.04545,627.06645,-489.18182,594.98531,0.26507,0.31769,39.13636,59.39904,745.32727,812.42418,1.78355,2.46701,5.24095,8.44704
Yb0.6Tm0.3Er0.2Y0.9Si1O5,10.05240,0.27149,0.31065,37.00742,52.70429,144.02500,206.73546,116.12500,129.36904,9.26250,14.66770,0.53513,0.58408,1.86325,2.41588,22.22500,28.85923,505.20500,541.27798,2.57206,2.68421,-597.07500,677.60273,-565.62500,643.19657,0.30448,0.34266,49.18750,64.76802,810.70000,850.08644,2.12112,2.70866,4.08131,7.39723
Yb0.6Tm0.3Er0.3Y0.8Si2O7,9.50561,0.23372,0.28686,30.17997,49.01486,168.10909,233.73023,116.22727,130.94117,11.37727,16.66006,0.56209,0.63100,1.60867,2.27419,25.28182,32.48025,495.70364,541.84060,2.61066,2.81678,-517.89091,628.55148,-489.90909,596.26607,0.26443,0.31660,39.00000,59.13774,744.72727,811.56862,1.81655,2.51837,5.24171,8.44661
Yb0.6Tm0.3Er0.3Y0.8Si1O5,10.18022,0.27136,0.31047,37.98684,53.93771,142.40000,206.73326,114.93750,128.03336,9.36875,14.67141,0.53537,0.58423,1.92068,2.50216,22.26250,28.86749,504.84250,540.81512,2.57069,2.68320,-598.23750,679.27905,-566.62500,644.64093,0.30359,0.34144,49.00000,64.48449,809.87500,849.05682,2.16650,2.76406,4.08235,7.39683
Yb0.6Tm0.3Er0.4Y0.7Si2O7,9.56341,0.23363,0.28670,30.89227,50.13720,166.92727,233.93805,115.36364,129.99446,11.45455,16.64600,0.56227,0.63109,1.65044,2.34832,25.30909,32.48118,495.44000,541.49963,2.60966,2.81612,-518.73636,630.03114,-490.63636,597.54264,0.26378,0.31552,38.86364,58.87477,744.12727,810.71142,1.84955,2.56801,5.24246,8.44618
Yb0.6Tm0.3Er0.4Y0.7Si1O5,10.25970,0.27124,0.31029,38.96625,55.11528,140.77500,206.71030,113.75000,126.66550,9.47500,14.67387,0.53562,0.58438,1.97810,2.58349,22.30000,28.87566,504.48000,540.35147,2.56932,2.68218,-599.40000,680.94802,-567.62500,646.07954,0.30270,0.34021,48.81250,64.19883,809.05000,848.02465,2.21188,2.81719,4.08339,7.39642
Yb0.6Tm0.3Er0.5Y0.6Si2O7,9.59129,0.23354,0.28654,31.60457,51.21874,165.74545,234.13594,114.50000,129.03136,11.53182,16.63134,0.56245,0.63117,1.69220,2.41900,25.33636,32.48207,495.17636,541.15823,2.60867,2.81545,-519.58182,631.50549,-491.36364,598.81504,0.26314,0.31442,38.72727,58.61009,743.52727,809.85259,1.88255,2.61603,5.24322,8.44575
Yb0.6Tm0.3Er0.5Y0.6Si1O5,10.29803,0.27111,0.31010,39.94566,56.24049,139.15000,206.66658,112.56250,125.26441,9.58125,14.67507,0.53588,0.58454,2.03552,2.66032,22.33750,28.88375,504.11750,539.88703,2.56795,2.68117,-600.56250,682.60969,-568.62500,647.51244,0.30181,0.33898,48.62500,63.91099,808.22500,846.98992,2.25725,2.86817,4.08442,7.39602
Yb0.6Tm0.3Er0.6Y0.5Si2O7,9.59129,0.23345,0.28637,32.31687,52.26204,164.56364,234.32390,113.63636,128.05148,11.60909,16.61608,0.56264,0.63126,1.73396,2.48653,25.36364,32.48293,494.91273,540.81641,2.60767,2.81477,-520.42727,632.97456,-492.09091,600.08330,0.26249,0.31332,38.59091,58.34369,742.92727,808.99211,1.91555,2.66251,5.24397,8.44532
Yb0.6Tm0.3Er0.6Y0.5Si1O5,10.29803,0.27099,0.30992,40.92508,57.31644,137.52500,206.60208,111.37500,123.82898,9.68750,14.67503,0.53612,0.58469,2.09295,2.73303,22.37500,28.89176,503.75500,539.42179,2.56658,2.68015,-601.72500,684.26411,-569.62500,648.93968,0.30092,0.33773,48.43750,63.62096,807.40000,845.95261,2.30262,2.91712,4.08546,7.39561
