Compounds,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Yb0.1Tm0.1Er0.1Y1.7Si2O7,8.43334,0.23577,0.29043,23.47582,35.34330,179.52727,230.96242,130.31818,139.63706,11.29273,16.62228,0.56664,0.63259,1.34164,1.74975,25.60909,32.39675,528.02636,561.55557,2.61158,2.81737,-513.73636,621.08667,-486.54545,590.17219,0.26799,0.32258,40.04545,61.10721,748.55455,817.00027,1.49618,1.89954,5.22398,8.45655
Yb0.1Tm0.1Er0.1Y1.7Si1O5,8.70585,0.27419,0.31447,28.76862,38.91125,158.10000,205.51091,134.31250,139.98905,9.25250,14.58515,0.54162,0.58712,1.55350,1.91295,22.71250,28.81786,549.28625,566.31576,2.57196,2.68409,-592.52500,670.82327,-562.00000,637.74054,0.30849,0.34818,50.43750,66.61481,815.13750,855.58359,1.72600,2.06865,4.05798,7.40601
Yb0.1Tm0.1Er0.2Y1.6Si2O7,8.61601,0.23568,0.29027,24.18812,37.09527,178.34545,231.26824,129.45455,138.89315,11.37000,16.60883,0.56682,0.63268,1.38340,1.85494,25.63636,32.39723,527.76273,561.25142,2.61059,2.81670,-514.58182,622.59331,-487.27273,591.46868,0.26735,0.32152,39.90909,60.85658,747.95455,816.15338,1.52918,1.97366,5.22474,8.45612
Yb0.1Tm0.1Er0.2Y1.6Si1O5,8.95703,0.27406,0.31429,29.74804,40.88820,156.47500,205.68947,133.12500,139.00834,9.35875,14.58900,0.54188,0.58726,1.61093,2.03507,22.75000,28.82509,548.92375,565.91927,2.57059,2.68308,-593.68750,672.52927,-563.00000,639.20644,0.30760,0.34699,50.25000,66.34492,814.31250,854.56756,1.77138,2.15425,4.05901,7.40561
Yb0.1Tm0.1Er0.3Y1.5Si2O7,8.75441,0.23559,0.29011,24.90042,38.74672,177.16364,231.56378,128.59091,138.13640,11.44727,16.59478,0.56700,0.63277,1.42516,1.95301,25.66364,32.39767,527.49909,560.94690,2.60959,2.81603,-515.42727,624.09444,-488.00000,592.76087,0.26670,0.32046,39.77273,60.60441,747.35455,815.30488,1.56218,2.04423,5.22549,8.45569
Yb0.1Tm0.1Er0.3Y1.5Si1O5,9.14733,0.27394,0.31411,30.72745,42.73741,154.85000,205.84703,131.93750,138.00405,9.46500,14.59159,0.54212,0.58741,1.66835,2.14777,22.78750,28.83225,548.56125,565.52212,2.56922,2.68206,-594.85000,674.22770,-564.00000,640.66645,0.30671,0.34580,50.06250,66.07306,813.48750,853.54902,1.81675,2.23509,4.06005,7.40521
Yb0.1Tm0.1Er0.4Y1.4Si2O7,8.86209,0.23550,0.28995,25.61272,40.31002,175.98182,231.84909,127.72727,137.36659,11.52455,16.58013,0.56718,0.63285,1.46693,2.04499,25.69091,32.39808,527.23545,560.64202,2.60859,2.81536,-516.27273,625.59010,-488.72727,594.04880,0.26605,0.31939,39.63636,60.35068,746.75455,814.45479,1.59518,2.11159,5.22625,8.45526
Yb0.1Tm0.1Er0.4Y1.4Si1O5,9.29538,0.27381,0.31394,31.70686,44.47483,153.22500,205.98364,130.75000,136.97568,9.57125,14.59292,0.54238,0.58756,1.72578,2.25247,22.82500,28.83932,548.19875,565.12431,2.56785,2.68105,-596.01250,675.91861,-565.00000,642.12061,0.30582,0.34460,49.87500,65.79922,812.66250,852.52797,1.86212,2.31165,4.06109,7.40481
Yb0.1Tm0.1Er0.5Y1.3Si2O7,8.94526,0.23541,0.28979,26.32502,41.79505,174.80000,232.12420,126.86364,136.58351,11.60182,16.56488,0.56736,0.63294,1.50869,2.13168,25.71818,32.39845,526.97182,560.33676,2.60760,2.81469,-517.11818,627.08032,-489.45455,595.33249,0.26541,0.31832,39.50000,60.09538,746.15455,813.60307,1.62818,2.17605,5.22700,8.45483
Yb0.1Tm0.1Er0.5Y1.3Si1O5,9.40974,0.27369,0.31376,32.68628,46.11309,151.60000,206.09934,129.56250,135.92266,9.67750,14.59299,0.54262,0.58771,1.78320,2.35023,22.86250,28.84632,547.83625,564.72585,2.56648,2.68003,-597.17500,677.60206,-566.00000,643.56896,0.30494,0.34339,49.68750,65.52336,811.83750,851.50439,1.90750,2.38435,4.06212,7.40441
Yb0.1Tm0.1Er0.6Y1.2Si2O7,9.00739,0.23532,0.28963,27.03732,43.20989,173.61818,232.38915,126.00000,135.78693,11.67909,16.54902,0.56755,0.63303,1.55045,2.21368,25.74545,32.39878,526.70818,560.03114,2.60660,2.81402,-517.96364,628.56516,-490.18182,596.61196,0.26476,0.31724,39.36364,59.83848,745.55455,812.74975,1.66118,2.23786,5.22775,8.45440
Yb0.1Tm0.1Er0.6Y1.2Si1O5,9.49518,0.27356,0.31358,33.66569,47.66242,149.97500,206.19417,128.37500,134.84443,9.78375,14.59181,0.54288,0.58786,1.84063,2.44190,22.90000,28.85323,547.47375,564.32673,2.56511,2.67901,-598.33750,679.27810,-567.00000,645.01153,0.30405,0.34218,49.50000,65.24545,811.01250,850.47829,1.95288,2.45354,4.06316,7.40401
Yb0.1Tm0.1Er0.7Y1.1Si2O7,9.05057,0.23523,0.28947,27.74962,44.56122,172.43636,232.64397,125.13636,134.97661,11.75636,16.53255,0.56773,0.63311,1.59222,2.29151,25.77273,32.39907,526.44455,559.72515,2.60560,2.81335,-518.80909,630.04463,-490.90909,597.88725,0.26412,0.31616,39.22727,59.57995,744.95455,811.89480,1.69418,2.29724,5.22851,8.45397
Yb0.1Tm0.1Er0.7Y1.1Si1O5,9.55454,0.27344,0.31340,34.64510,49.13123,148.35000,206.26815,127.18750,133.74038,9.89000,14.58937,0.54313,0.58801,1.89805,2.52812,22.93750,28.86006,547.11125,563.92694,2.56374,2.67799,-599.50000,680.94679,-568.00000,646.44837,0.30316,0.34095,49.31250,64.96548,810.18750,849.44964,1.99825,2.51950,4.06420,7.40361
Yb0.1Tm0.1Er0.8Y1.0Si2O7,9.07603,0.23514,0.28931,28.46192,45.85465,171.25455,232.88871,124.27273,134.15229,11.83364,16.51548,0.56791,0.63320,1.63398,2.36557,25.80000,32.39933,526.18091,559.41878,2.60461,2.81267,-519.65455,631.51879,-491.63636,599.15838,0.26347,0.31507,39.09091,59.31979,744.35455,811.03822,1.72718,2.35435,5.22926,8.45354
Yb0.1Tm0.1Er0.8Y1.0Si1O5,9.58955,0.27331,0.31322,35.62451,50.52654,146.72500,206.32131,126.00000,132.60986,9.99625,14.58568,0.54337,0.58815,1.95548,2.60945,22.97500,28.86681,546.74875,563.52649,2.56237,2.67697,-600.66250,682.60819,-569.00000,647.87952,0.30228,0.33972,49.12500,64.68341,809.36250,848.41844,2.04362,2.58249,4.06524,7.40321
Yb0.1Tm0.1Er0.9Y0.9Si2O7,9.08444,0.23505,0.28915,29.17422,47.09497,170.07273,233.12338,123.40909,133.31372,11.91091,16.49780,0.56809,0.63329,1.67575,2.43621,25.82727,32.39955,525.91727,559.11205,2.60361,2.81200,-520.50000,632.98766,-492.36364,600.42537,0.26283,0.31397,38.95455,59.05797,743.75455,810.18001,1.76018,2.40938,5.23002,8.45311
Yb0.1Tm0.1Er0.9Y0.9Si1O5,9.60112,0.27319,0.31304,36.60392,51.85430,145.10000,206.35366,124.81250,131.45219,10.10250,14.58072,0.54362,0.58830,2.01290,2.68632,23.01250,28.87348,546.38625,563.12538,2.56100,2.67594,-601.82500,684.26234,-570.00000,649.30501,0.30139,0.33848,48.93750,64.39922,808.53750,847.38468,2.08900,2.64271,4.06628,7.40281
Yb0.1Tm0.1Er1.0Y0.8Si2O7,9.07603,0.23495,0.28899,29.88652,48.28625,168.89091,233.34802,122.54545,132.46063,11.98818,16.47950,0.56827,0.63337,1.71751,2.50372,25.85455,32.39973,525.65364,558.80494,2.60262,2.81133,-521.34545,634.45130,-493.09091,601.68826,0.26218,0.31287,38.81818,58.79446,743.15455,809.32016,1.79318,2.46246,5.23077,8.45269
Yb0.1Tm0.1Er1.0Y0.8Si1O5,9.58955,0.27306,0.31286,37.58334,53.11955,143.47500,206.36522,123.62500,130.26664,10.20875,14.57450,0.54388,0.58845,2.07033,2.75912,23.05000,28.88007,546.02375,562.72361,2.55963,2.67492,-602.98750,685.90930,-571.00000,650.72488,0.30050,0.33723,48.75000,64.11288,807.71250,846.34835,2.13438,2.70034,4.06731,7.40241
Yb0.1Tm0.1Er1.1Y0.7Si2O7,9.05057,0.23486,0.28883,30.59882,49.43205,167.70909,233.56266,121.68182,131.59274,12.06545,16.46059,0.56845,0.63346,1.75927,2.56835,25.88182,32.39987,525.39000,558.49746,2.60162,2.81065,-522.19091,635.90972,-493.81818,602.94707,0.26154,0.31177,38.68182,58.52925,742.55455,808.45867,1.82618,2.51370,5.23153,8.45226
Yb0.1Tm0.1Er1.1Y0.7Si1O5,9.55454,0.27294,0.31268,38.56275,54.32668,141.85000,206.35598,122.43750,129.05244,10.31500,14.56703,0.54412,0.58860,2.12775,2.82814,23.08750,28.88658,545.66125,562.32116,2.55826,2.67389,-604.15000,687.54913,-572.00000,652.13917,0.29961,0.33597,48.56250,63.82436,806.88750,845.30944,2.17975,2.75556,4.06835,7.40201
Yb0.1Tm0.1Er1.2Y0.6Si2O7,9.00739,0.23477,0.28867,31.31112,50.53546,166.52727,233.76733,120.81818,130.70974,12.14273,16.44107,0.56864,0.63354,1.80104,2.63030,25.90909,32.39997,525.12636,558.18961,2.60062,2.80998,-523.03636,637.36297,-494.54545,604.20182,0.26089,0.31065,38.54545,58.26231,741.95455,807.59552,1.85918,2.56323,5.23228,8.45183
Yb0.1Tm0.1Er1.2Y0.6Si1O5,9.49518,0.27281,0.31250,39.54216,55.47947,140.22500,206.32594,121.25000,127.80879,10.42125,14.55828,0.54438,0.58874,2.18518,2.89368,23.12500,28.89301,545.29875,561.91805,2.55689,2.67286,-605.31250,689.18186,-573.00000,653.54791,0.29873,0.33471,48.37500,63.53362,806.06250,844.26794,2.22512,2.80851,4.06939,7.40160
Yb0.1Tm0.1Er1.3Y0.5Si2O7,8.94526,0.23468,0.28851,32.02342,51.59920,165.34545,233.96205,119.95455,129.81134,12.22000,16.42093,0.56882,0.63363,1.84280,2.68977,25.93636,32.40004,524.86273,557.88138,2.59963,2.80930,-523.88182,638.81109,-495.27273,605.45255,0.26025,0.30953,38.40909,57.99361,741.35455,806.73073,1.89218,2.61113,5.23304,8.45140
Yb0.1Tm0.1Er1.3Y0.5Si1O5,9.40974,0.27269,0.31231,40.52158,56.58125,138.60000,206.27510,120.06250,126.53480,10.52750,14.54828,0.54462,0.58889,2.24260,2.95594,23.16250,28.89935,544.93625,561.51427,2.55552,2.67183,-606.47500,690.80756,-574.00000,654.95114,0.29784,0.33343,48.18750,63.24065,805.23750,843.22385,2.27050,2.85930,4.07042,7.40120
Yb0.1Tm0.1Er1.4Y0.4Si2O7,8.86209,0.23459,0.28835,32.73572,52.62568,164.16364,234.14685,119.09091,128.89721,12.29727,16.40016,0.56900,0.63372,1.88456,2.74691,25.96364,32.40007,524.59909,557.57278,2.59863,2.80862,-524.72727,640.25410,-496.00000,606.69927,0.25960,0.30840,38.27273,57.72314,740.75455,805.86428,1.92518,2.65750,5.23379,8.45097
Yb0.1Tm0.1Er1.4Y0.4Si1O5,9.29538,0.27256,0.31213,41.50099,57.63494,136.97500,206.20343,118.87500,125.22956,10.63375,14.53700,0.54488,0.58903,2.30002,3.01515,23.20000,28.90562,544.57375,561.10982,2.55415,2.67080,-607.63750,692.42627,-575.00000,656.34890,0.29695,0.33215,48.00000,62.94541,804.41250,842.17715,2.31588,2.90805,4.07146,7.40080
Yb0.1Tm0.1Er1.5Y0.3Si2O7,8.75441,0.23450,0.28819,33.44802,53.61703,162.98182,234.32175,118.22727,127.96701,12.37455,16.37878,0.56918,0.63380,1.92633,2.80187,25.99091,32.40007,524.33545,557.26381,2.59763,2.80794,-525.57273,641.69204,-496.72727,607.94201,0.25895,0.30727,38.13636,57.45086,740.15455,804.99616,1.95818,2.70242,5.23455,8.45054
Yb0.1Tm0.1Er1.5Y0.3Si1O5,9.14733,0.27244,0.31195,42.48040,58.64314,135.35000,206.11093,117.68750,123.89208,10.74000,14.52445,0.54512,0.58918,2.35745,3.07147,23.23750,28.91181,544.21125,560.70469,2.55278,2.66977,-608.80000,694.03804,-576.00000,657.74121,0.29606,0.33086,47.81250,62.64787,803.58750,841.12783,2.36125,2.95488,4.07250,7.40040
Yb0.1Tm0.1Er1.6Y0.2Si2O7,8.61601,0.23441,0.28803,34.16032,54.57517,161.80000,234.48677,117.36364,127.02039,12.45182,16.35676,0.56936,0.63389,1.96809,2.85478,26.01818,32.40002,524.07182,556.95446,2.59664,2.80727,-526.41818,643.12495,-497.45455,609.18079,0.25831,0.30613,38.00000,57.17676,739.55455,804.12637,1.99118,2.74595,5.23530,8.45010
Yb0.1Tm0.1Er1.6Y0.2Si1O5,8.95703,0.27231,0.31177,43.45981,59.60814,133.72500,205.99755,116.50000,122.52130,10.84625,14.51063,0.54537,0.58933,2.41488,3.12506,23.27500,28.91792,543.84875,560.29889,2.55141,2.66873,-609.96250,695.64292,-577.00000,659.12812,0.29518,0.32955,47.62500,62.34799,802.76250,840.07588,2.40662,2.99985,4.07354,7.39999
Yb0.1Tm0.1Er1.7Y0.1Si2O7,8.43334,0.23432,0.28787,34.87262,55.50182,160.61818,234.64193,116.50000,126.05699,12.52909,16.33412,0.56955,0.63397,2.00985,2.90573,26.04545,32.39994,523.80818,556.64473,2.59564,2.80659,-527.26364,644.55287,-498.18182,610.41564,0.25766,0.30499,37.86364,56.90080,738.95455,803.25491,2.02418,2.78817,5.23605,8.44967
Yb0.1Tm0.1Er1.7Y0.1Si1O5,8.70585,0.27219,0.31159,44.43922,60.53203,132.10000,205.86326,115.31250,121.11609,10.95250,14.49552,0.54562,0.58947,2.47230,3.17606,23.31250,28.92394,543.48625,559.89242,2.55004,2.66770,-611.12500,697.24095,-578.00000,660.50965,0.29429,0.32824,47.43750,62.04574,801.93750,839.02130,2.45200,3.04306,4.07458,7.39959
Yb0.1Tm0.2Er0.1Y1.6Si2O7,8.61601,0.23556,0.29007,24.20335,37.14798,178.27273,231.30842,129.13636,138.76497,11.34182,16.60923,0.56691,0.63273,1.38571,1.86354,25.64545,32.39794,528.19909,561.76202,2.61128,2.81716,-515.03636,623.45319,-487.72727,592.32669,0.26799,0.32258,40.00000,61.02012,748.62727,817.10610,1.52882,1.97254,5.22577,8.45554
Yb0.1Tm0.2Er0.1Y1.6Si1O5,8.95703,0.27390,0.31407,29.76898,40.94947,156.37500,205.73331,132.68750,138.84607,9.32000,14.58056,0.54200,0.58734,1.61410,2.04530,22.76250,28.82835,549.52375,566.58524,2.57155,2.68378,-594.31250,673.50970,-563.62500,640.18310,0.30849,0.34818,50.37500,66.52037,815.23750,855.71090,1.77088,2.15292,4.06044,7.40508
Yb0.1Tm0.2Er0.2Y1.5Si2O7,8.79396,0.23547,0.28991,24.91565,38.79673,177.09091,231.60330,128.27273,138.00426,11.41909,16.59539,0.56709,0.63281,1.42747,1.96110,25.67273,32.39837,527.93545,561.45811,2.61029,2.81650,-515.88182,624.95124,-488.45455,593.61610,0.26735,0.32152,39.86364,60.76896,748.02727,816.25941,1.56182,2.04315,5.22653,8.45511
Yb0.1Tm0.2Er0.2Y1.5Si1O5,9.20171,0.27378,0.31389,30.74839,42.79525,154.75000,205.88956,131.50000,137.83448,9.42625,14.58361,0.54225,0.58749,1.67153,2.15733,22.80000,28.83548,549.16125,566.18918,2.57018,2.68276,-595.47500,675.20391,-564.62500,641.63930,0.30760,0.34699,50.18750,66.24980,814.41250,854.69518,1.81625,2.23382,4.06148,7.40468
Yb0.1Tm0.2Er0.3Y1.4Si2O7,8.92732,0.23538,0.28975,25.62795,40.35765,175.90909,231.88795,127.40909,137.23044,11.49636,16.58096,0.56727,0.63290,1.46924,2.05265,25.70000,32.39877,527.67182,561.15384,2.60929,2.81583,-516.72727,626.44385,-489.18182,594.90127,0.26670,0.32046,39.72727,60.51626,747.42727,815.41112,1.59482,2.11056,5.22728,8.45468
Yb0.1Tm0.2Er0.3Y1.4Si1O5,9.38507,0.27365,0.31371,31.72780,44.52967,153.12500,206.02486,130.31250,136.79866,9.53250,14.58541,0.54250,0.58764,1.72895,2.26145,22.83750,28.84253,548.79875,565.79247,2.56881,2.68175,-596.63750,676.89063,-565.62500,643.08968,0.30671,0.34580,50.00000,65.97727,813.58750,853.67695,1.86162,2.31044,4.06251,7.40428
Yb0.1Tm0.2Er0.4Y1.3Si2O7,9.02959,0.23529,0.28959,26.34025,41.84057,174.72727,232.16241,126.54545,136.44328,11.57364,16.56592,0.56745,0.63299,1.51100,2.13895,25.72727,32.39912,527.40818,560.84920,2.60829,2.81516,-517.57273,627.93105,-489.90909,596.18221,0.26605,0.31939,39.59091,60.26199,746.82727,814.56122,1.62782,2.17506,5.22804,8.45425
Yb0.1Tm0.2Er0.4Y1.3Si1O5,9.52569,0.27352,0.31353,32.70721,46.16526,151.50000,206.13926,129.12500,135.73805,9.63875,14.58594,0.54275,0.58779,1.78638,2.35872,22.87500,28.84949,548.43625,565.39510,2.56744,2.68073,-597.80000,678.56993,-566.62500,644.53427,0.30582,0.34460,49.81250,65.70273,812.76250,852.65621,1.90700,2.38319,4.06355,7.40388
Yb0.1Tm0.2Er0.5Y1.2Si2O7,9.10694,0.23520,0.28943,27.05255,43.25351,173.54545,232.42671,125.68182,135.64256,11.65091,16.55028,0.56764,0.63307,1.55276,2.22061,25.75455,32.39944,527.14455,560.54419,2.60730,2.81449,-518.41818,629.41287,-490.63636,597.45896,0.26541,0.31832,39.45455,60.00614,746.22727,813.70971,1.66082,2.23690,5.22879,8.45383
Yb0.1Tm0.2Er0.5Y1.2Si1O5,9.63206,0.27340,0.31335,33.68662,47.71220,149.87500,206.23279,127.93750,134.65207,9.74500,14.58522,0.54300,0.58794,1.84380,2.44994,22.91250,28.85638,548.07375,564.99708,2.56607,2.67971,-598.96250,680.24185,-567.62500,645.97312,0.30494,0.34339,49.62500,65.42617,811.93750,851.63294,1.95238,2.45243,4.06459,7.40348
Yb0.1Tm0.2Er0.6Y1.1Si2O7,9.16277,0.23511,0.28927,27.76485,44.60312,172.36364,232.68089,124.81818,134.82803,11.72818,16.53403,0.56782,0.63316,1.59453,2.29813,25.78182,32.39972,526.88091,560.23882,2.60630,2.81381,-519.26364,630.88936,-491.36364,598.73154,0.26476,0.31724,39.31818,59.74868,745.62727,812.85658,1.69382,2.29631,5.22955,8.45340
Yb0.1Tm0.2Er0.6Y1.1Si1O5,9.70882,0.27328,0.31317,34.66604,49.17884,148.25000,206.30547,126.75000,133.54011,9.85125,14.58324,0.54325,0.58808,1.90123,2.53578,22.95000,28.86318,547.71125,564.59839,2.56470,2.67870,-600.12500,681.90645,-568.62500,647.40626,0.30405,0.34218,49.43750,65.14756,811.11250,850.60715,1.99775,2.51844,4.06562,7.40308
Yb0.1Tm0.2Er0.7Y1.0Si2O7,9.19906,0.23502,0.28911,28.47715,45.89499,171.18182,232.92498,123.95455,133.99945,11.80545,16.51717,0.56800,0.63324,1.63629,2.37192,25.80909,32.39996,526.61727,559.93307,2.60530,2.81314,-520.10909,632.36056,-492.09091,599.99997,0.26412,0.31616,39.18182,59.48960,745.02727,812.00183,1.72682,2.35346,5.23030,8.45297
Yb0.1Tm0.2Er0.7Y1.0Si1O5,9.75873,0.27315,0.31299,35.64545,50.57218,146.62500,206.35734,125.56250,132.40150,9.95750,14.58000,0.54350,0.58823,1.95865,2.61676,22.98750,28.86991,547.34875,564.19905,2.56333,2.67767,-601.28750,683.56379,-569.62500,648.83373,0.30316,0.34095,49.25000,64.86687,810.28750,849.57881,2.04312,2.58146,4.06666,7.40268
Yb0.1Tm0.2Er0.8Y0.9Si2O7,9.21695,0.23493,0.28895,29.18945,47.13386,170.00000,233.15902,123.09091,133.15654,11.88273,16.49971,0.56818,0.63333,1.67805,2.44232,25.83636,32.40017,526.35364,559.62695,2.60431,2.81247,-520.95455,633.82649,-492.81818,601.26430,0.26347,0.31507,39.04545,59.22887,744.42727,811.14545,1.75982,2.40851,5.23105,8.45254
Yb0.1Tm0.2Er0.8Y0.9Si1O5,9.78332,0.27302,0.31281,36.62486,51.89813,145.00000,206.38841,124.37500,131.23556,10.06375,14.57550,0.54375,0.58838,2.01608,2.69331,23.02500,28.87655,546.98625,563.79904,2.56196,2.67665,-602.45000,685.21392,-570.62500,650.25557,0.30228,0.33972,49.06250,64.58408,809.46250,848.54793,2.08850,2.64172,4.06770,7.40228
Yb0.1Tm0.2Er0.9Y0.8Si2O7,9.21695,0.23484,0.28879,29.90175,48.32382,168.81818,233.38302,122.22727,132.29904,11.96000,16.48163,0.56836,0.63342,1.71982,2.50960,25.86364,32.40034,526.09000,559.32047,2.60331,2.81179,-521.80000,635.28720,-493.54545,602.52453,0.26283,0.31397,38.90909,58.96647,743.82727,810.28744,1.79282,2.46162,5.23181,8.45211
Yb0.1Tm0.2Er0.9Y0.8Si1O5,9.78332,0.27290,0.31263,37.60427,53.16171,143.37500,206.39868,123.18750,130.04154,10.17000,14.56974,0.54400,0.58852,2.07350,2.76581,23.06250,28.88311,546.62375,563.39837,2.56059,2.67563,-603.61250,686.85688,-571.62500,651.67181,0.30139,0.33848,48.87500,64.29915,808.63750,847.51448,2.13387,2.69939,4.06874,7.40187
Yb0.1Tm0.2Er1.0Y0.7Si2O7,9.19906,0.23475,0.28863,30.61405,49.46839,167.63636,233.59703,121.36364,131.42665,12.03727,16.46294,0.56855,0.63350,1.76158,2.57402,25.89091,32.40047,525.82636,559.01361,2.60232,2.81112,-522.64545,636.74272,-494.27273,603.78070,0.26218,0.31287,38.77273,58.70238,743.22727,809.42779,1.82582,2.51289,5.23256,8.45168
Yb0.1Tm0.2Er1.0Y0.7Si1O5,9.75873,0.27278,0.31245,38.58369,54.36729,141.75000,206.38816,122.00000,128.81867,10.27625,14.56272,0.54425,0.58867,2.13092,2.83457,23.10000,28.88960,546.26125,562.99704,2.55922,2.67460,-604.77500,688.49273,-572.62500,653.08249,0.30050,0.33723,48.68750,64.01206,807.81250,846.47847,2.17925,2.75464,4.06978,7.40147
Yb0.1Tm0.2Er1.1Y0.6Si2O7,9.16277,0.23465,0.28847,31.32635,50.57066,166.45455,233.80106,120.50000,130.53909,12.11455,16.44363,0.56873,0.63359,1.80335,2.63578,25.91818,32.40056,525.56273,558.70638,2.60132,2.81044,-523.49091,638.19309,-495.00000,605.03283,0.26154,0.31177,38.63636,58.43657,742.62727,808.56650,1.85882,2.56244,5.23332,8.45125
Yb0.1Tm0.2Er1.1Y0.6Si1O5,9.70882,0.27265,0.31227,39.56310,55.51864,140.12500,206.35685,120.81250,127.56612,10.38250,14.55443,0.54450,0.58882,2.18835,2.89986,23.13750,28.89600,545.89875,562.59504,2.55785,2.67358,-605.93750,690.12152,-573.62500,654.48765,0.29961,0.33597,48.50000,63.72279,806.98750,845.43988,2.22462,2.80761,4.07081,7.40107
Yb0.1Tm0.2Er1.2Y0.5Si2O7,9.10694,0.23456,0.28831,32.03865,51.63333,165.27273,233.99516,119.63636,129.63604,12.19182,16.42371,0.56891,0.63367,1.84511,2.69507,25.94545,32.40062,525.29909,558.39877,2.60032,2.80977,-524.33636,639.63834,-495.72727,606.28095,0.26089,0.31065,38.50000,58.16903,742.02727,807.70357,1.89182,2.61036,5.23407,8.45082
Yb0.1Tm0.2Er1.2Y0.5Si1O5,9.63206,0.27252,0.31209,40.54251,56.61907,138.50000,206.30474,119.62500,126.28300,10.48875,14.54488,0.54475,0.58896,2.24578,2.96189,23.17500,28.90232,545.53625,562.19237,2.55648,2.67255,-607.10000,691.74330,-574.62500,655.88732,0.29873,0.33471,48.31250,63.43129,806.16250,844.39871,2.27000,2.85844,4.07185,7.40067
Yb0.1Tm0.2Er1.3Y0.4Si2O7,9.02959,0.23447,0.28815,32.75095,52.65880,164.09091,234.17933,118.77273,128.71717,12.26909,16.40317,0.56909,0.63376,1.88687,2.75204,25.97273,32.40064,525.03545,558.09080,2.59933,2.80909,-525.18182,641.07851,-496.45455,607.52508,0.26025,0.30953,38.36364,57.89973,741.42727,806.83898,1.92482,2.65675,5.23483,8.45039
Yb0.1Tm0.2Er1.3Y0.4Si1O5,9.52569,0.27240,0.31190,41.52193,57.67149,136.87500,206.23180,118.43750,124.96838,10.59500,14.53406,0.54500,0.58911,2.30320,3.02088,23.21250,28.90856,545.17375,561.78904,2.55511,2.67152,-608.26250,693.35812,-575.62500,657.28154,0.29784,0.33343,48.12500,63.13755,805.33750,843.35493,2.31538,2.90722,4.07289,7.40027
Yb0.1Tm0.2Er1.4Y0.3Si2O7,8.92732,0.23438,0.28798,33.46325,53.64921,162.90909,234.35360,117.90909,127.78214,12.34636,16.38200,0.56927,0.63385,1.92864,2.80685,26.00000,32.40062,524.77182,557.78245,2.59833,2.80841,-526.02727,642.51363,-497.18182,608.76524,0.25960,0.30840,38.22727,57.62864,740.82727,805.97273,1.95782,2.70169,5.23558,8.44996
Yb0.1Tm0.2Er1.4Y0.3Si1O5,9.38507,0.27228,0.31172,42.50134,58.67849,135.25000,206.13803,117.25000,123.62124,10.70125,14.52197,0.54525,0.58926,2.36062,3.07700,23.25000,28.91472,544.81125,561.38503,2.55374,2.67048,-609.42500,694.96603,-576.62500,658.67034,0.29695,0.33215,47.93750,62.84152,804.51250,842.30855,2.36075,2.95407,4.07392,7.39986
Yb0.1Tm0.2Er1.5Y0.2Si2O7,8.79396,0.23429,0.28782,34.17555,54.60646,161.72727,234.51800,117.04545,126.83060,12.42364,16.36021,0.56945,0.63393,1.97040,2.85960,26.02727,32.40056,524.50818,557.47372,2.59733,2.80774,-526.87273,643.94374,-497.90909,610.00147,0.25895,0.30727,38.09091,57.35574,740.22727,805.10482,1.99082,2.74524,5.23634,8.44953
Yb0.1Tm0.2Er1.5Y0.2Si1O5,9.20171,0.27215,0.31154,43.48075,59.64237,133.62500,206.02338,116.06250,122.24052,10.80750,14.50861,0.54550,0.58940,2.41805,3.13041,23.28750,28.92080,544.44875,560.98036,2.55237,2.66945,-610.58750,696.56708,-577.62500,660.05375,0.29606,0.33086,47.75000,62.54317,803.68750,841.25956,2.40612,2.99906,4.07496,7.39946
Yb0.1Tm0.2Er1.6Y0.1Si2O7,8.61601,0.23420,0.28766,34.88785,55.53227,160.54545,234.67254,116.18182,125.86217,12.50091,16.33780,0.56964,0.63402,2.01216,2.91042,26.05455,32.40047,524.24455,557.16462,2.59634,2.80706,-527.71818,645.36886,-498.63636,611.23377,0.25831,0.30613,37.95455,57.08100,739.62727,804.23524,2.02382,2.78747,5.23709,8.44909
Yb0.1Tm0.2Er1.6Y0.1Si1O5,8.95703,0.27202,0.31136,44.46016,60.56518,132.00000,205.88783,114.87500,120.82505,10.91375,14.49396,0.54575,0.58955,2.47548,3.18123,23.32500,28.92680,544.08625,560.57501,2.55100,2.66842,-611.75000,698.16131,-578.62500,661.43182,0.29518,0.32955,47.56250,62.24248,802.86250,840.20793,2.45150,3.04230,4.07600,7.39906
Yb0.1Tm0.3Er0.1Y1.5Si2O7,8.75441,0.23535,0.28971,24.93087,38.84667,177.01818,231.64278,127.95455,137.87080,11.39091,16.59592,0.56718,0.63286,1.42978,1.96916,25.68182,32.39907,528.37182,561.96830,2.61098,2.81696,-516.33636,625.80633,-488.90909,594.46953,0.26799,0.32258,39.95455,60.93284,748.70000,817.21192,1.56145,2.04207,5.22756,8.45454
