Compounds,crg,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Er0.5Tm0.5Yb0.5Lu0.5Si2O7,1.5,9.64082,0.23164,0.28319,36.20659,57.61721,158,235.38672,115.72727,130.5466,12.14545,16.50243,0.56636,0.63301,2.00532,2.90778,25.81818,32.49418,508.17727,554.52663,2.57176,2.79449,-528.8,647.60859,-500.18182,614.32141,0.26223,0.3128,39.45455,60.165,747.86364,816.35655,2.11045,2.93242,5.25986,8.43642
Lu0.25Yb0.25Sc0.25Er0.25Y0.25Ho0.25Dy0.25Tb0.25Si2O7,2.3,10.68861,0.23182,0.28437,30.91291,51.08607,171.25,238.1498,119.77273,131.28695,11.76136,16.55205,0.56909,0.63428,1.75316,2.57289,25.925,32.51506,513.63409,551.56426,2.58191,2.8006,-521.23182,634.59686,-491.31818,599.2856,0.27043,0.3276,39.52273,60.56246,747.54545,815.87963,1.86864,2.60899,5.26702,8.43584
Ho0.4Er0.4Tm0.4Yb0.4Lu0.4Si2O7,0.71,9.97813,0.23262,0.28494,35.984,57.19182,158.21818,235.2945,115.27273,129.08474,12.16,16.46681,0.56691,0.63313,2.0088,2.90438,25.74545,32.47305,511.56,554.57249,2.5728,2.79444,-528.52727,647.03187,-499.81818,613.58219,0.26505,0.31787,39.09091,59.44609,748.4,817.05493,2.09055,2.89582,5.25138,8.44122
Yb0.5Lu0.5Ho0.5Er0.5Si2O7,2.9,9.64082,0.23273,0.28515,36.02459,57.27557,158.22727,235.29379,116.40909,130.89903,12.15455,16.50079,0.56545,0.63256,1.98145,2.85982,25.59091,32.49111,504.95,550.55151,2.56436,2.78945,-526.25455,643.05368,-497.68182,609.84462,0.26405,0.31621,39,59.32193,747.72727,816.15727,2.10182,2.91749,5.25055,8.44173
Lu0.3333Yb0.3333Tm0.3333Er0.3333Ho0.3333Y0.3333Si2O7,4.09,10.2534,0.23323,0.28604,33.52962,53.98922,162.39356,234.70433,118.45138,131.62905,11.99993,16.50061,0.56696,0.63308,1.88001,2.74191,25.72699,32.4577,515.37445,556.45067,2.57936,2.79847,-525.68264,642.20158,-497.27791,609.24156,0.26571,0.31896,39.30049,59.82758,748.57596,817.29423,1.97413,2.74643,5.246,8.44433
Y0.5Er0.5Tm0.5Yb0.5Si2O7,35.7,9.64082,0.23341,0.28631,32.29473,52.21111,164.54545,234.33044,114.13636,127.96893,11.66364,16.58341,0.56409,0.63186,1.76127,2.5429,25.5,32.46957,501.95,545.83357,2.60773,2.8148,-522.20909,636.15365,-493.81818,603.17017,0.26359,0.31521,38.77273,58.69076,744.22727,810.86274,1.91,2.65053,5.24427,8.44514
Yb0.4Y0.4Lu0.4Ho0.4Er0.4Si2O7,3.11,9.97813,0.23345,0.28643,33.07389,53.37991,163.23636,234.56808,120,133.49566,11.96364,16.5339,0.56582,0.6326,1.83251,2.66686,25.6,32.46861,510.86909,553.701,2.574,2.79529,-523.32727,638.01706,-495.09091,605.35278,0.26505,0.31787,39.27273,59.80708,748.10909,816.63127,1.96,2.73392,5.24422,8.44528
Yb1Y1Si2O7,9.19,8.59303,0.23345,0.28642,28.92009,47.07025,170.18182,233.43418,114.36364,132.23232,10.86364,16.80096,0.55636,0.62861,1.42745,1.84253,24.72727,32.52428,470.26364,523.74553,2.61588,2.82033,-511.34545,616.76218,-483.81818,585.28403,0.26455,0.31674,39,59.14927,744.09091,810.64262,1.77091,2.46399,5.24418,8.44528
Dy0.5Ho0.5Tm0.5Yb0.5Si2O7,4.3,9.64082,0.23445,0.28819,35.53405,56.32311,158.45455,235.19312,108.68182,121.92144,11.51818,16.59386,0.56364,0.63163,1.93436,2.75937,25.31818,32.46721,495.72273,538.30329,2.59116,2.80406,-525.52727,641.76795,-496.31818,607.40605,0.27227,0.33052,37.86364,56.92476,744.27273,810.94552,2.06273,2.84168,5.23573,8.45007
Ho0.5Er0.5Dy0.5Lu0.5Si2O7,6.96,9.64082,0.23473,0.28869,35.54527,56.35418,158.81818,235.04528,121.86364,131.93872,12.30909,16.40106,0.57091,0.63454,2.0715,2.99048,26.04545,32.40359,531.90909,563.47945,2.55004,2.77961,-529.98182,649.26508,-500.86364,615.13307,0.26995,0.32683,38.77273,58.92265,747.31818,815.59505,2.07591,2.86853,5.2335,8.45138
