Principal Component,Cumulative Explained Variance Ratio
1,0.7152244841689995
2,0.8302933155684742
3,0.8938413511979622
4,0.9480765773308946
5,0.9692152989961456
6,0.9860163715067111
7,0.9952147211570699
8,0.9971994137221988
